Operator,Test Command,Benchmark Command
Adaptive_Attention_Span,python -m pytest tests/test_special_ops.py -m Adaptive_Attention_Span -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m Adaptive_Attention_Span -vs
Add+LayerNorm,python -m pytest tests/test_norm_ops.py -m add_layer_norm -vs,python -m pytest benchmark/test_fused_perf.py -m add_layer_norm -vs
Add+RMSNorm,python -m pytest tests/test_norm_ops.py -m Add_RMSNorm -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_fused_perf.py -m Add_RMSNorm -vs
Add+Softmax,python -m pytest tests/test_special_ops.py -m add_softmax -vs,python -m pytest benchmark/test_special_perf.py -m add_softmax -vs
Add_RMSNorm,CUDA_VISIBLE_DEVICES=1 /usr/bin/python3 -m pytest tests/test_norm_ops.py -m add_rms_norm -vs,CUDA_VISIBLE_DEVICES=1 /usr/bin/python3 -m pytest benchmark/test_norm_perf.py -m add_rms_norm -vs
Add_Softmax,CUDA_VISIBLE_DEVICES=4 python -m pytest tests/test_special_ops.py -m add_softmax -vs,CUDA_VISIBLE_DEVICES=4 python -m pytest benchmark/test_special_perf.py -m add_softmax -vs
And,python -m pytest tests/test_binary_pointwise_ops.py -m And -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m and_op -vs
BatchNorm+ReLU+Dropout,python -m pytest tests/test_norm_ops.py -m batch_norm_relu_dropout -vs,python -m pytest benchmark/test_norm_perf.py -m batch_norm_relu_dropout -vs
BatchNorm,python -m pytest tests/test_norm_ops.py -m batch_norm -vs,python -m pytest benchmark/test_norm_perf.py -m batch_norm -vs
BatchNorm_ReLU_Dropout,python -m pytest tests/test_norm_ops.py -m BatchNorm_ReLU_Dropout -vs,python -m pytest benchmark/test_norm_perf.py -m BatchNorm_ReLU_Dropout -vs
Beam_Search_Score,python -m pytest tests/test_binary_pointwise_ops.py -m Beam_Search_Score -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_binary_pointwise_perf.py -m Beam_Search_Score -vs
Cast,python -m pytest tests/test_unary_pointwise_ops.py -m 'Cast or Cast_' -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m cast -vs
Causal_Convolution,python -m pytest tests/test_special_ops.py -m causal_conv1d -vs,python -m pytest benchmark/test_special_perf.py -m causal_conv1d -vs
Concat,python -m pytest tests/test_special_ops.py -m concatenate -vs,python -m pytest benchmark/test_tensor_concat_perf.py -m concatenate -vs
Constant,python -m pytest tests/test_unary_pointwise_ops.py -m Constant -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m Constant -vs
ConstantOfShape,python -m pytest tests/test_tensor_constructor_ops.py -m constant_of_shape -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m constant_of_shape -vs
conv_relu,python -m pytest tests/test_convolution_ops.py -m conv_relu -q,python -m pytest benchmark/test_convolution_perf.py -m conv_relu -vs
Conv+BN+ReLU,python -m pytest tests/test_special_ops.py -m Conv_BN_ReLU -vs,python -m pytest benchmark/test_special_perf.py -m Conv_BN_ReLU -vs
Conv+GELU,python -m pytest tests/test_convolution_ops.py -m conv_gelu -vs,python -m pytest benchmark/test_convolution_perf.py -m conv_gelu -vs
conv_transpose2d,python -m pytest tests/test_convolution_ops.py -m conv_transpose2d -vs,python -m pytest benchmark/test_convolution_perf.py -m conv_transpose2d -vs
Conv_Activation,python -m pytest tests/test_convolution_ops.py -m conv_activation -vs,python -m pytest benchmark/test_convolution_perf.py -m conv_activation -vs
